Remote Realms – Skill XP Table (Levels 1–99),,
,,
,,
"Source: XP chart image on Remote Realms Wiki (Fandom). This sheet makes the XP values machine-readable for calculators and planning.
Wiki: XP Chart",,
,,
,,
XP Chart,Open XP Chart page,
,,
Level,Total_XP,XP_to_Next_Level
1,0,97
2,97,107
3,204,119
4,323,131
5,454,145
6,599,160
7,759,177
8,936,195
9,1131,216
10,1347,238
11,1585,263
12,1848,290
13,2138,321
14,2459,354
15,2813,391
16,3204,431
17,3635,476
18,4111,525
19,4636,580
20,5216,640
21,5856,706
22,6562,779
23,7341,860
24,8201,949
25,9150,1048
26,10198,1157
27,11355,1277
28,12632,1409
29,14041,1555
30,15596,1717
31,17313,1895
32,19208,2092
33,21300,2309
34,23609,2549
35,26158,2813
36,28971,3105
37,32076,3428
38,35504,3784
39,39288,4177
40,43465,4611
41,48076,5091
42,53167,5620
43,58787,6204
44,64991,6849
45,71840,7561
46,79401,8347
47,87748,9215
48,96963,10173
49,107136,11231
50,118367,12399
51,130766,13689
52,144455,15113
53,159568,16685
54,176253,18421
55,194674,20337
56,215011,22453
57,237464,24789
58,262253,27368
59,289621,30215
60,319836,33359
61,353195,36830
62,390025,40663
63,430688,44894
64,475582,49566
65,525148,54724
66,579872,60419
67,640291,66706
68,706997,73648
69,780645,81313
70,861958,89775
71,951733,99118
72,1050851,109434
73,1160285,120823
74,1281108,133398
75,1414506,147282
76,1561788,162611
77,1724399,179536
78,1903935,198222
79,2102157,218853
80,2321010,241631
81,2562641,266781
82,2829422,294548
83,3123970,325206
84,3449176,359055
85,3808231,396427
86,4204658,437689
87,4642347,483246
88,5125593,533544
89,5659137,589079
90,6248216,650394
91,6898610,718091
92,7616701,792835
93,8409536,875359
94,9284895,966472
95,10251367,1067070
96,11318437,1178139
97,12496576,1300768
98,13797344,1436163
99,15233507,
